,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
2920,Helen Recorvits,Holiday,,Fiction,"Farrar, Straus and Giroux","November 3, 2006",4 - 7,32,,"July 12, 2017",Gabi Swiatkowska,,,,,
2921,Stephenie Meyer,Fantasy,Magic and Fantasy,Fiction,"Little, Brown and Company","August 2, 2008",12 - 14,755,,"February 11, 2020",,,,,,
2922,Rachel Caine,Fantasy,,Fiction,Penguin Group,"October 3, 2006",12 - 17,256,,"June 19, 2019",,,,,,
2923,Harry Allard,School,,Fiction,Houghton Mifflin Children's Books,"January 1, 1982",4 - 7,32,,"July 12, 2017",James Marshall,,,,,
2924,Stephenie Meyer,Romance,"Magic and Fantasy, Monsters, Ghosts, and Vampires",Fiction,"Little, Brown and Company","October 6, 2015",12 - 17,387,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2925,Victoria Jamieson,Sports,"Sports and Martial Arts, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Dial Books for Young Readers,"March 10, 2015",9 - 12,240,"Paperback, Nook, Hardback, iBooks, Kindle","April 11, 2019",,,,,Newbery Medal and Honors,
2926,Edward Bloor,School,,Fiction,Harcourt Brace,"December 12, 2004",,424,,"July 06, 2016",,,,,,
2927,Alison McGhee,Friendship,,Fiction,Candlewick Press,"August 22, 2005",,129,,"September 18, 2015",,,,,,
2928,John Lithgow,Picture Book,,Fiction,Simon & Schuster,"March 27, 2007",,40,,"September 23, 2015",Igor Oleynikov,,,,,
2929,,History,"Activism, History, Misfits and Underdogs",Non-Fiction,Bloomsbury YA,"September 11, 2018",12 - 18,270,Hardback,"March 29, 2019",,"Carol Anderson, Tonya Bolden",,,,
2930,Teri Kanefield,Biography,"Great Boy Role Models, History, Misfits and Underdogs",Non-Fiction,Abrams Books for Young Readers,"March 7, 2017",10 - 14,208,"Paperback, Nook, Audiobook (unabridged), Hardback, Kindle","December 04, 2019",,,,,,
2931,Susan Orlean,Picture Book,,Fiction,Abrams Books for Young Readers,"October 1, 2008",4 - 7,32,,"March 04, 2020",G. Brian Karas,,,,,
2932,Jessica Townsend,Fantasy,"Magic and Fantasy, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","November 13, 2018",9 - 12,544,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2933,Ally Condie,Science Fiction,Magic and Fantasy,Fiction,Dutton Children's Books,"November 30, 2010",14,384,,"June 19, 2019",,,,,,
2934,Matt de la Peña,Family Life,Sports and Martial Arts,Fiction,Delacorte Press,"August 1, 2008",14 - 17,249,,"January 09, 2018",,,,,,
2935,Caroline B. Cooney,Historical Fiction,,Fiction,Random House,"January 1, 1996",12 - 14,210,,"July 12, 2017",,,,,,
2936,Miranda Sings,Humor,Arts and Dance,Fiction,Gallery Books,"July 21, 2015",,240,"Nook, Hardback, iBooks, Kindle","June 15, 2016",,,,,,
2937,David Stabler,Biography,"STEM, Great Boy Role Models, Great Girl Role Models, History, Science and Nature",Non-Fiction,Quirk Books,"October 9, 2018",8 - 12,208,"Hardback, iBooks, Kindle","November 04, 2019",Anoosha Syed,,,,,
2938,Ron Roy,Mystery,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Random House,"October 7, 2009",6 - 9,80,"Paperback, Hardback, iBooks","August 11, 2017",Liza Woodruff,,,,,
2939,Louise Erdrich,Coming of Age,"Friendship, History, Misfits and Underdogs",Fiction,HarperCollins Publishers,"October 2, 2012",,368,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 11, 2015",,,,,,
2940,Adriana Mather,Horror,"Magic and Fantasy, Friendship, High School, History, Monsters, Ghosts, and Vampires",Fiction,Knopf Books for Young Readers,"July 26, 2016",12 - 18,368,"Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2941,Lois Ehlert,Picture Book,,Fiction,Harcourt Brace,"January 1, 2000",2 - 4,34,,"July 12, 2017",Lois Ehlert,,,,,
2942,Harry Allard,Humor,Misfits and Underdogs,Fiction,Houghton Mifflin Children's Books,"April 17, 1974",4 - 8,32,,"June 19, 2019",James Marshall,,,,,
2943,,History,History,Non-Fiction,Chronicle Books,"January 18, 2012",12 - 17,129,,"July 13, 2017",Randy DuBurke,"Patricia C. McKissack, Frederick L. McKissack",,,,
2944,Adrienne Young,Fantasy,"Magic and Fantasy, Adventures, Misfits and Underdogs",Fiction,Wednesday Books,"September 3, 2019",12 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 20, 2019",,,,,,
2945,Laura Sebastian,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Friendship, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Pirates",Fiction,Delacorte Press,"February 4, 2020",,480,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 27, 2020",,,,,,
2946,Gitty Daneshvari,Humor,"Adventures, Friendship, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","October 20, 2015",8 - 12,240,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2947,Rachel Renee Russell,Friendship,"Book Characters, Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,Aladdin,"June 2, 2015",9 - 13,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 09, 2020",Rachel Renee Russell,,,,,
2948,Cyn Balog,Fantasy,"Princesses, Fairies, Mermaids, and More",Fiction,Delacorte Press,"June 1, 2009",,248,,"June 19, 2019",,,,,,
2949,,Picture Book,"Magic and Fantasy, Adventures, Great Boy Role Models",Fiction,Simon & Schuster Books for Young Readers,"May 15, 2018",4 - 8,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,"Terry Fan, Eric Fan",,,,"Terry Fan, Eric Fan"
2950,Katherine Paterson,Historical Fiction,"Friendship, Great Girl Role Models, History",Fiction,Candlewick Press,"October 10, 2017",10 - 14,160,"Audiobook (unabridged), Hardback","June 19, 2019",,,,,,
2951,Alexandra Day,Holiday,"Cats, Dogs, and Mice, Holidays",Fiction,"Farrar, Straus and Giroux","August 11, 2015",3 - 7,32,"Hardback, iBooks, Kindle","June 19, 2019",Alexandra Day,,,,,
2952,Deborah Hopkinson,Historical Fiction,"Great Boy Role Models, History, Science and Nature",Fiction,Alfred A. Knopf,"September 10, 2013",10 - 14,256,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2953,Eric Gansworth,Coming of Age,"Friendship, Misfits and Underdogs",Fiction,Arthur A. Levine,"July 30, 2013",12 - 17,368,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
2954,Catherine Linka,Contemporary Fiction,"Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,St. Martin's Griffin,"June 23, 2015",13 - 17,304,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2955,Karyn Parsons,Coming of Age,"Friendship, History, Misfits and Underdogs",Fiction,Little Brown and Company,"March 13, 2019",8 - 12,320,"Paperback, Audiobook (unabridged), Hardback, Kindle","February 26, 2020",,,,,,
2956,Philip Pullman,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Cats, Dogs, and Mice, Fairy Tales, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Trains",Fiction,Knopf Books for Young Readers,"October 3, 2019",14 - 18,656,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 03, 2019",,,,,,
2957,Mary Engelbreit,Holiday,,Fiction,HarperCollins Children's Books,"November 25, 2008",4 - 7,32,,"July 13, 2017",Mary Engelbreit,,,,,
2958,Alan Katz,Picture Book,,Fiction,Simon & Schuster,"July 1, 2008",9,32,,"July 13, 2017",David Catrow,,,,,
2959,Michael B. Kaplan,Holiday,"Brothers and Sisters, Holidays",Fiction,Dial,"February 10, 2015",3 - 5,32,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Stéphanie Jorisch,,,,,
2960,A.S. King,Literary Fiction,"Magic and Fantasy, Friendship, High School, Misfits and Underdogs",Fiction,"Little, Brown and Company","September 22, 2015",15 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2961,Brigid Kemmerer,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship",Fiction,Bloomsbury,"January 7, 2020",13 - 18,450,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 06, 2020",,,,,,
2962,Ross Venokur,Humor,,Fiction,,"January 1, 1998",9 - 12,135,,"July 12, 2017",,,,,,
2963,Khizr Khan,History,History,Non-Fiction,Knopf Books for Young Readers,"October 24, 2017",10 - 17,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 03, 2017",,,,,,
2964,Judi Barrett,Picture Book,"Magic and Fantasy, Book Characters, Brothers and Sisters, Science and Nature, Space and Aliens",Fiction,Atheneum,"August 27, 2013",4 - 8,32,"Nook, Hardback, Kindle","June 19, 2019",,,,,,
2965,Michael Dante DiMartino,Fantasy,"STEM, Magic and Fantasy, Adventures, Arts and Dance",Fiction,Roaring Brook Press,"October 4, 2016",8 - 12,384,"Nook, Hardback, iBooks, Kindle","June 20, 2019",Michael Dante DiMartino,,,,,
2966,Liniers,Family Life,"Brothers and Sisters, Great Girl Role Models, Science and Nature",Fiction,Toon Books,"September 10, 2013",4 - 8,32,"Nook, Hardback","July 13, 2017",Liniers,,,,,
2967,Meg Wolitzer,Contemporary Fiction,,Fiction,Dutton Children's Books,"September 20, 2011",9 - 12,256,,"July 13, 2017",,,,,,
2968,Jennifer Donnelly,Fairy Tale,"Magic and Fantasy, Adventures, Book Characters, Fairy Tales, Friendship, Great Girl Role Models, History, Monsters, Ghosts, and Vampires",Fiction,Disney Press,"January 31, 2017",,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 15, 2019",,,,,,
2969,Andrew Clements,School,,Fiction,Simon & Schuster,"July 4, 2005",,222,,"September 18, 2015",Brian Selznick,,,,,
2970,Margaret Peterson Haddix,Science Fiction,,Fiction,Simon & Schuster,"April 22, 2008",8 - 12,314,,"July 13, 2017",,,,,,
2971,Emily Gravett,Picture Book,,Fiction,Simon & Schuster,"March 4, 2008",2 - 6,32,,"March 04, 2020",Emily Gravett,,,,,
2972,Ellen Airgood,Friendship,"Friendship, Great Girl Role Models, History, Horses and Farm Animals, Misfits and Underdogs",Fiction,Nancy Paulsen Books,"May 24, 2012",8 - 17,215,,"July 13, 2017",,,,,,
2973,Ibi Zoboi,Coming of Age,"High School, Misfits and Underdogs",Fiction,Balzer + Bray,"February 14, 2017",,324,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 24, 2017",,,,,,
2974,Richard Paul Evans,Science Fiction,"Superheroes, Adventures, Friendship, Misfits and Underdogs",Fiction,Simon Pulse,"August 9, 2011",12 - 15,326,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 12, 2020",,,,,,
2975,David Macaulay,History,,Non-Fiction,Houghton Mifflin Children's Books,"January 1, 2000",9 - 12,128,,"July 12, 2017",David Macaulay,,,,,
2976,Stephanie Barden,Friendship,"Friendship, Great Girl Role Models",Fiction,HarperCollins Children's Books,"April 24, 2012",8 - 12,144,,"June 19, 2019",Diane Goode,,,,,
2977,Amy Plum,Science Fiction,"Adventures, Great Girl Role Models, Misfits and Underdogs",Fiction,HarperTeen,"May 5, 2015",14 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2978,Eric A. Kimmel,Holiday,,Fiction,Scholastic Inc.,"January 1, 2000",,29,,"September 22, 2015",Jon J. Muth,,,,,
2979,Madeleine L'Engle,Mystery,,Fiction,Yearling Books,"January 1, 1978",9 - 12,240,,"July 12, 2017",,,,,,
2980,Christelle Dabos,Fantasy,"Magic and Fantasy, Great Girl Role Models, Misfits and Underdogs",Fiction,Europa Editions,"May 7, 2019",,512,"Nook, Audiobook (unabridged), Hardback, iBooks, App","June 03, 2019",,,,,,
2981,Cory Doctorow,Technology,"Magic and Fantasy, Adventures, Friendship, Great Girl Role Models",Fiction,First Second,"October 14, 2014",12 - 17,192,"Paperback, Nook, Kindle","November 04, 2019",Jen Wang,,,,,
2982,Avi,Sports,,Fiction,Simon & Schuster,"January 1, 1984",9 - 12,90,,"July 12, 2017",Richard Scarry,,,,,
2983,Mike Curato,Picture Book,"Adventures, Cats, Dogs, and Mice, Friendship, Great Boy Role Models, Wild Animals",Fiction,"Henry Holt & Company, Inc.","August 30, 2016",4 - 8,32,"Hardback, iBooks","February 06, 2020",Mike Curato,,,,,
2984,Susan Dennard,Fantasy,"Magic and Fantasy, History, Monsters, Ghosts, and Vampires, Science and Nature",Fiction,HarperTeen,"July 24, 2012",13 - 18,400,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
2985,Sarah Darer Littman,Body Awareness,,Fiction,Scholastic Press,"April 1, 2009",,236,,"February 19, 2020",,,,,,
2986,Stuart Gibbs,Mystery,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Simon & Schuster Books for Young Readers,"October 10, 2017",8 - 12,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 12, 2017",,,,,,
2987,Aisha Saeed,Coming of Age,"Book Characters, Great Girl Role Models, Misfits and Underdogs",Fiction,Nancy Paulsen Books,"May 8, 2018",10 - 18,227,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
2988,Madeleine Roux,Horror,"Friendship, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,HarperCollins Publishers,"June 14, 2016",16 - 18,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2989,Jennifer Lynn Barnes,Mystery,Science and Nature,Fiction,Disney-Hyperion,"November 5, 2013",,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2990,Pam Munoz Ryan,Historical Fiction,History,Fiction,Scholastic Press,"October 1, 2000",9 - 12,262,"Audiobook (unabridged), Hardback, Kindle","March 25, 2019",,,,,ALA Best and Notable Books,
2991,Lois Lowry,Fantasy,"Magic and Fantasy, Adventures, Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Houghton Mifflin Children's Books,"May 28, 2014",8 - 12,169,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
2992,John David Anderson,Family Life,"Adventures, Brothers and Sisters, History, Misfits and Underdogs",Fiction,Walden Pond Press,"May 7, 2019",8 - 12,368,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 25, 2019",,,,,,
2993,Leo Lionni,Family Life,,Fiction,Apple,"April 1, 1987",4 - 7,26,,"July 12, 2017",Leo Lionni,,,,,
2994,Robert Paul Weston,Fantasy,"Misfits and Underdogs, Monsters, Ghosts, and Vampires, Robots",Fiction,Razorbill,"November 5, 2013",8 - 12,352,"Nook, Hardback, Kindle","July 13, 2017",Zack Lydon,,,,,
2995,Maureen Johnson,Mystery,"High School, Monsters, Ghosts, and Vampires",Fiction,Putnam Juvenile,"February 26, 2013",12 - 17,304,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,,,,,
2996,Lois G. Grambling,Picture Book,,Fiction,HarperCollins Children's Books,"August 21, 2007",,32,,"June 19, 2019",Jane Manning,,,,,
2997,James Howe,Picture Book,"Dinosaurs, Arts and Dance, Misfits and Underdogs, Wild Animals",Fiction,Candlewick Press,"August 10, 2010",4 - 8,32,"Paperback, Hardback","July 13, 2017",Randy Cecil,,,,,
2998,Lisa Wheeler,Holiday,,Fiction,Atheneum,"August 5, 2008",4 - 7,40,,"July 13, 2017",Mark Siegel,,,,,
2999,Roxie Munro,Picture Book,"Science and Nature, Wild Animals",Non-Fiction,Two Lions,"August 6, 2013",5 - 11,40,"Hardback, Kindle","July 13, 2017",Roxie Munro,,,,,
3000,Virginia Boecker,Historical Fiction,"Adventures, Great Boy Role Models, Great Girl Role Models, History",Fiction,"Little, Brown and Company","October 23, 2018",14 - 18,384,"Nook, Hardback, iBooks, Kindle","April 12, 2019",,,,,,
3001,William Steig,Family Life,,Fiction,Sunburst,"January 1, 2000",4 - 7,32,,"November 15, 2019",William Steig,,,,,
3002,,Advice,"Friendship, Great Girl Role Models",Non-Fiction,HarperCollins Children's Books,"April 3, 2018",8 - 12,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Nan Lawson,"Katty Kay, Claire Shipman, JillEllyn Riley",,,,
3003,A.J. Hartley,Fantasy,Magic and Fantasy,Fiction,Razorbill,"October 13, 2011",,432,,"June 19, 2019",,,,,,
3004,Makiia Lucier,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Great Girl Role Models, Ocean Creatures",Fiction,Houghton Mifflin Books for Young Readers,"August 24, 2019",,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","August 30, 2019",,,,,,
3005,James Patterson,Science Fiction,,Fiction,"Little, Brown and Company","May 1, 2006",,409,,"June 19, 2019",,,,,,
3006,Corinne Duyvis,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Friendship",Fiction,Amulet Books,"June 17, 2014",14 - 18,400,"Hardback, Kindle","July 13, 2017",,,,,,
3007,Laurel Snyder,Coming of Age,"Magic and Fantasy, Adventures, Friendship, Misfits and Underdogs",Fiction,Walden Pond Press,"May 30, 2017",8 - 12,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
3008,Sara Lawrence,Coming of Age,,Fiction,Razorbill,"October 4, 2007",14 - 17,320,,"July 13, 2017",,,,,,
3009,Gennifer Choldenko,Coming of Age,"Brothers and Sisters, Friendship, History, Misfits and Underdogs",Fiction,Dial Books,"September 3, 2009",10 - 14,274,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 26, 2019",,,,,,
3010,Grace Lin,For Beginning Readers,"Adventures, Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,"Little, Brown Books for Young Readers","November 11, 2014",6 - 9,48,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
3011,Laura Sebastian,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Friendship, Misfits and Underdogs, Pirates",Fiction,Delacorte Press,"April 24, 2018",,448,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","April 12, 2019",,,,,,
3012,Gary Paulsen,Fantasy,,Fiction,Wendy Lamb,"July 28, 2009",,132,,"July 15, 2015",,,,,,
3013,Mike Curato,Picture Book,Science and Nature,Fiction,"Henry Holt & Company, Inc.","September 6, 2017",,40,"Hardback, iBooks, Kindle","September 27, 2017",Mike Curato,,,,,
3014,Marieke Nijkamp,Mystery,"Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Sourcebooks Fire,"January 23, 2018",14 - 18,368,"Paperback, Nook, Audiobook (unabridged), Hardback, Kindle","February 26, 2020",,,,,,
3015,Patrick Ness,Fantasy,"Magic and Fantasy, Adventures, Monsters, Ghosts, and Vampires, Ocean Creatures",Fiction,HarperTeen,"August 4, 2018",13 - 18,160,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 22, 2018",Rovina Cai,,,,,
3016,James Thurber,Fairy Tale,,Fiction,New York Review of Books,"January 1, 1950",8 - 12,124,,"July 13, 2017",Marc Simont,,,,,
3017,Jean Fritz,Historical Fiction,,Fiction,Penguin Group,"January 1, 1974",9 - 12,48,,"July 12, 2017",Trina Schart Hyman,,,,,
3018,Ronald L. Smith,Fantasy,"Magic and Fantasy, Adventures, Great Boy Role Models, History, Monsters, Ghosts, and Vampires",Fiction,Clarion Books,"September 1, 2015",10 - 12,224,"Paperback, Audiobook (unabridged), Hardback, iBooks, Kindle","December 05, 2019",,,,,Coretta Scott King Medal and Honors,
3019,Jean Craighead George,Adventure,"Adventures, Brothers and Sisters, Friendship, Great Boy Role Models, Science and Nature, Wild Animals",Fiction,Puffin Books,"January 1, 1959",9 - 12,192,"Paperback, Audiobook (unabridged), Hardback, Kindle","January 27, 2020",,,"ALA Best and Notable Books, Newbery Medal and Honors",,,
3020,Coleen Salley,Picture Book,,Fiction,Harcourt Brace,"October 3, 2004",3 - 7,32,,"July 12, 2017",Janet Stevens,,,,,
3021,E. L. Konigsburg,Literary Fiction,,Fiction,Simon & Schuster,"September 6, 2004",10 - 14,296,,"July 12, 2017",,,,,,
3022,Joanna Cole,Science,"Cars and Trucks, STEM, Great Girl Role Models",Fiction,Scholastic Press,"July 24, 1986",6 - 9,,"Paperback, Audiobook (unabridged), Hardback","June 19, 2019",Bruce Degen,,,,,
3023,Kwame Alexander,Romance,High School,Fiction,HarperCollins Publishers,"November 19, 2013",14 - 17,336,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
3024,David Almond,Family Life,,Fiction,,"January 1, 1998",9 - 12,182,,"July 12, 2017",,,,,,
3025,Cinda Williams Chima,Fantasy,"Magic and Fantasy, Horses and Farm Animals, Monsters, Ghosts, and Vampires",Fiction,HarperTeen,"April 5, 2016",13 - 17,544,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
